"","x"
"1",1
"2",2
"3",2
"4",3
"5",3
"6",4
"7",2
"8",2
"9",1
"10",3
"11",3
"12",2
"13",2
"14",2
"15",1
"16",1
"17",3
"18",3
"19",2
"20",1
"21",1
"22",2
"23",3
"24",4
"25",2
"26",1
"27",2
"28",4
"29",3
"30",4
"31",1
"32",3
"33",1
"34",1
"35",4
"36",3
"37",5
"38",1
"39",3
"40",4
"41",3
"42",1
"43",1
"44",2
"45",1
"46",3
"47",3
"48",2
"49",1
"50",3
"51",5
"52",3
"53",4
"54",5
"55",4
"56",2
"57",2
"58",2
"59",1
"60",2
"61",2
"62",1
"63",4
"64",1
"65",3
"66",2
"67",2
"68",1
"69",1
"70",1
"71",1
"72",3
"73",2
"74",2
"75",2
"76",1
"77",2
"78",1
"79",1
"80",4
"81",4
"82",1
"83",1
"84",1
"85",3
"86",1
"87",1
"88",1
"89",1
"90",3
"91",1
"92",3
"93",2
"94",1
"95",3
"96",3
"97",1
"98",1
"99",3
"100",2
"101",1
"102",6
"103",3
"104",2
"105",3
"106",1
"107",1
"108",1
"109",3
"110",1
"111",1
"112",3
"113",1
"114",2
"115",1
"116",1
"117",1
"118",1
"119",4
"120",5
"121",3
"122",1
"123",3
"124",1
"125",1
"126",2
"127",3
"128",1
"129",2
"130",1
"131",4
"132",3
"133",1
"134",1
"135",1
"136",2
"137",4
"138",1
"139",1
"140",3
"141",2
"142",1
"143",4
"144",4
"145",3
"146",3
"147",2
"148",3
"149",1
"150",2
"151",4
"152",1
"153",1
"154",7
"155",3
"156",1
"157",3
"158",1
"159",3
"160",3
"161",1
"162",3
"163",2
"164",1
"165",2
"166",1
"167",3
"168",1
"169",1
"170",2
"171",3
"172",3
"173",1
"174",4
"175",4
"176",6
"177",4
"178",1
"179",2
"180",1
"181",2
"182",1
"183",3
"184",2
"185",3
"186",3
"187",2
"188",2
"189",3
"190",3
"191",3
"192",3
"193",4
"194",2
"195",1
"196",3
"197",5
"198",6
"199",2
"200",1
"201",6
"202",2
"203",3
"204",3
"205",4
"206",3
"207",1
"208",3
"209",1
"210",4
"211",2
"212",1
"213",2
"214",4
"215",2
"216",3
"217",2
"218",3
"219",1
"220",4
"221",1
"222",4
"223",3
"224",4
"225",1
"226",1
"227",5
"228",1
"229",1
"230",1
"231",1
"232",1
"233",3
"234",1
"235",1
"236",3
"237",3
"238",1
"239",7
"240",2
"241",3
"242",4
"243",2
"244",4
"245",4
"246",1
"247",1
"248",1
"249",2
"250",2
"251",1
"252",1
"253",2
"254",3
"255",1
"256",2
"257",4
"258",1
"259",1
"260",3
"261",1
"262",3
"263",3
"264",4
"265",4
"266",1
"267",2
"268",4
"269",1
"270",2
"271",3
"272",4
"273",3
"274",1
"275",1
"276",1
"277",2
"278",4
"279",4
"280",3
"281",3
"282",3
"283",1
"284",1
"285",1
"286",1
"287",3
"288",1
"289",5
"290",1
"291",5
"292",3
"293",4
"294",2
"295",1
"296",5
"297",1
"298",4
"299",1
"300",1
"301",1
"302",1
"303",3
"304",3
"305",6
"306",4
"307",3
"308",1
"309",3
"310",1
"311",2
"312",1
"313",2
"314",4
"315",1
"316",1
"317",4
"318",4
"319",4
"320",1
"321",1
"322",1
"323",1
"324",4
"325",5
"326",1
"327",1
"328",1
"329",3
"330",3
"331",3
"332",3
"333",5
"334",1
"335",2
"336",3
"337",3
"338",3
"339",3
"340",4
"341",4
"342",1
"343",1
"344",3
"345",2
"346",1
"347",1
"348",4
"349",2
"350",1
"351",1
"352",1
"353",4
"354",3
"355",1
"356",1
"357",2
"358",1
"359",3
"360",3
"361",3
"362",3
"363",1
"364",2
"365",1
"366",3
"367",3
"368",1
"369",3
"370",4
"371",1
"372",2
"373",2
"374",3
"375",1
"376",1
"377",3
"378",4
"379",3
"380",4
"381",1
"382",2
"383",4
"384",1
"385",1
"386",4
"387",1
"388",3
"389",2
"390",3
"391",3
"392",4
"393",4
"394",2
"395",2
"396",1
"397",3
"398",2
"399",1
"400",1
"401",2
"402",3
"403",3
"404",2
"405",1
"406",3
"407",4
"408",5
"409",1
"410",4
"411",2
"412",3
"413",4
"414",3
"415",1
"416",6
"417",3
"418",5
"419",2
"420",3
"421",1
"422",1
"423",3
"424",4
"425",1
"426",1
"427",3
"428",4
"429",1
"430",3
"431",5
"432",3
"433",1
"434",1
"435",4
"436",3
"437",1
"438",2
"439",4
"440",1
"441",4
"442",4
"443",1
"444",3
"445",1
"446",1
"447",1
"448",2
"449",2
"450",1
"451",1
"452",3
"453",1
"454",4
"455",3
"456",4
"457",1
"458",1
"459",2
"460",1
"461",1
"462",3
